                                     user     system      total        real
BERT v1 complex                  1.616618   0.001385   1.618003 (  1.618141)
BERT v1 large                    0.350311   0.009986   0.360297 (  0.360301)
BERT v1 long array               2.851944   0.040060   2.892004 (  2.892249)
BERT v1 small                    0.077449   0.000000   0.077449 (  0.077450)
BERT v1 tiny                     0.013731   0.000024   0.013755 (  0.013754)

BERT v2 complex                  1.421643   0.000000   1.421643 (  1.421742)
BERT v2 large                    0.397346   0.010006   0.407352 (  0.407420)
BERT v2 long array               2.870466   0.000032   2.870498 (  2.870676)
BERT v2 small                    0.052970   0.009922   0.062892 (  0.062893)
BERT v2 tiny                     0.007868   0.000000   0.007868 (  0.007870)

BERT v3 complex                  0.038911   0.010064   0.048975 (  0.048978)
BERT v3 large                    0.191490   0.079790   0.271280 (  0.271286)
BERT v3 long array               0.228639   0.000000   0.228639 (  0.228659)
BERT v3 small                    0.004904   0.000074   0.004978 (  0.004980)
BERT v3 tiny                     0.003752   0.000070   0.003822 (  0.003823)

SKIP v4 (unsupported)

JSON complex                     0.149379   0.019976   0.169355 (  0.169361)
JSON large                       1.490915   0.000035   1.490950 (  1.490996)
JSON long array                  0.430366   0.000000   0.430366 (  0.430376)
JSON small                       0.010342   0.000000   0.010342 (  0.010344)
JSON tiny                        0.005748   0.000000   0.005748 (  0.005750)

Ruby complex                     0.027993   0.000000   0.027993 (  0.027983)
Ruby large                       0.020900   0.000000   0.020900 (  0.020906)
Ruby long array                  0.065094   0.000000   0.065094 (  0.065097)
Ruby small                       0.008075   0.000000   0.008075 (  0.008078)
Ruby tiny                        0.003015   0.000000   0.003015 (  0.003016)

YAJL complex                     0.176221   0.000000   0.176221 (  0.176224)
YAJL large                       1.294001   0.019893   1.313894 (  1.313913)
YAJL long array                  0.577892   0.000000   0.577892 (  0.577943)
YAJL small                       0.009272   0.000000   0.009272 (  0.009274)
YAJL tiny                        0.003571   0.000025   0.003596 (  0.003600)
