                    user     system      total        real
BERT (C) complex  0.093557   0.001102   0.094659 (  0.094616)
BERT (C) large  0.112323   0.040806   0.153129 (  0.153134)
BERT (C) small  0.002851   0.000000   0.002851 (  0.002852)
BERT (C) tiny   0.001286   0.000000   0.001286 (  0.001286)

BERT (Ruby) complex  2.108050   0.010023   2.118073 (  2.118215)
BERT (Ruby) large  0.470026   0.010015   0.480041 (  0.480069)
BERT (Ruby) small  0.105609   0.000000   0.105609 (  0.105622)
BERT (Ruby) tiny  0.009217   0.000000   0.009217 (  0.009218)

JSON complex    0.079943   0.000000   0.079943 (  0.079961)
JSON large      0.722099   0.007184   0.729283 (  0.729292)
JSON small      0.004295   0.000000   0.004295 (  0.004296)
JSON tiny       0.002787   0.000000   0.002787 (  0.002789)

Ruby complex    0.007826   0.000000   0.007826 (  0.007829)
Ruby large      0.006110   0.000000   0.006110 (  0.006121)
Ruby small      0.003108   0.000000   0.003108 (  0.003109)
Ruby tiny       0.001669   0.000000   0.001669 (  0.001671)

YAJL complex    0.109758   0.000000   0.109758 (  0.109762)
YAJL large      0.635426   0.000000   0.635426 (  0.635463)
YAJL small      0.010060   0.000000   0.010060 (  0.010064)
YAJL tiny       0.003537   0.000000   0.003537 (  0.003538)
